step	max_rounds	critic/task_score/mean	critic/rewards/mean	reward_events/mean	env_rounds/mean	executor_invalid_action_rate	executor_native_format_violations/unknown	planner_invalid_format_rate/unknown	planner_rewrite_rate/unknown	planner_fallback_rate/unknown	planner_tag_only_rate/unknown	executor_reviewer_pass_rate/unknown	actor/kl_loss	critic/vf_explained_var
1	6.0	0.402	0.402	2.75	3.75	0.062	0.062	0.438	0.438	0.0	0.0	1.0	0.186	-0.164
2	6.0	0.492	0.492	2.438	3.188	0.0	0.0	0.375	0.375	0.0	0.0	1.0	0.014	-0.23
3	6.0	0.179	0.179	4.062	5.375	0.0	0.0	0.562	0.562	0.0	0.0	1.0	0.16	-0.364
4	6.0	0.508	0.508	2.812	3.562	0.062	0.062	0.625	0.625	0.0	0.0	1.0	0.246	-0.265
5	6.0	0.535	0.535	4.25	4.5	0.0	0.0	0.188	0.188	0.0	0.0	1.0	0.112	-0.142
6	6.0	0.741	0.741	2.188	2.875	0.0	0.0	0.625	0.625	0.0	0.0	1.0	0.033	-0.347
7	6.0	0.412	0.412	3.0	4.188	0.0	0.0	0.562	0.562	0.0	0.0	1.0	0.169	-0.154
8	6.0	0.347	0.347	2.75	4.25	0.062	0.0	0.688	0.688	0.0	0.0	1.0	0.432	-0.049
9	6.0	0.236	0.236	4.062	5.0	0.0	0.0	0.625	0.625	0.0	0.0	1.0	0.278	-0.094
10	6.0	0.499	0.499	3.125	3.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.235	-0.095
11	6.0	0.395	0.395	3.188	4.375	0.0	0.0	0.5	0.5	0.0	0.0	1.0	0.186	-0.086
12	6.0	0.484	0.484	4.062	4.375	0.0	0.0	0.25	0.25	0.0	0.0	1.0	1.022	-0.122
13	6.0	0.587	0.587	3.062	3.75	0.0	0.0	0.25	0.25	0.0	0.0	1.0	0.183	0.018
14	6.0	0.352	0.352	3.562	4.625	0.0	0.0	0.312	0.312	0.0	0.0	1.0	0.353	-0.427
15	6.0	0.64	0.64	2.875	3.125	0.0	0.0	0.125	0.125	0.0	0.0	1.0	0.461	0.124
16	6.0	0.467	0.467	3.0	4.125	0.0	0.0	0.188	0.188	0.0	0.0	1.0	0.223	-0.119
17	6.0	0.703	0.703	2.125	2.688	0.0	0.0	0.188	0.188	0.0	0.0	1.0	0.324	-0.198
18	6.0	0.534	0.534	3.062	3.875	0.0	0.0	0.312	0.312	0.0	0.0	1.0	1.003	-0.01
19	6.0	0.632	0.632	2.812	3.375	0.0	0.0	0.312	0.312	0.0	0.0	1.0	0.538	-0.087
20	6.0	0.601	0.601	3.188	3.625	0.0	0.0	0.125	0.125	0.0	0.0	1.0	0.456	0.048
21	6.0	0.2	0.2	3.688	4.875	0.062	0.0	0.375	0.375	0.0	0.0	1.0	0.447	0.006
22	6.0	0.719	0.719	2.812	3.188	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.038	-0.125
23	6.0	0.477	0.477	4.125	4.625	0.0	0.0	0.25	0.25	0.0	0.0	1.0	0.356	0.009
24	6.0	0.363	0.363	3.438	4.438	0.0	0.0	0.438	0.438	0.0	0.0	1.0	0.672	0.148
25	6.0	0.405	0.405	3.188	4.125	0.125	0.0	0.188	0.188	0.0	0.0	1.0	0.68	-0.255
26	6.0	0.66	0.66	2.75	3.312	0.0	0.0	0.125	0.125	0.0	0.0	1.0	0.473	-0.002
27	6.0	0.833	0.833	2.188	2.312	0.0	0.0	0.25	0.25	0.0	0.0	1.0	0.455	-0.028
28	6.0	0.736	0.736	2.812	2.938	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.779	0.074
29	6.0	0.722	0.722	1.875	2.312	0.062	0.0	0.125	0.125	0.0	0.0	1.0	0.508	-0.245
30	6.0	0.722	0.722	2.312	2.625	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.078
31	6.0	0.56	0.56	3.125	3.25	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.927	-0.025
32	6.0	0.59	0.59	3.25	3.375	0.062	0.0	0.0	0.0	0.0	0.0	1.0	0.734	-0.041
33	6.0	0.358	0.358	3.875	4.25	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.47	0.059
34	6.0	0.556	0.556	3.375	3.375	0.062	0.0	0.0	0.0	0.0	0.0	1.0	0.668	0.194
35	6.0	0.185	0.185	5.062	5.312	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.481	-0.31
36	6.0	0.591	0.591	2.625	3.125	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.646	-0.153
37	6.0	0.54	0.54	3.625	3.938	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.811	-0.266
38	6.0	0.695	0.695	2.938	3.312	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.425	-0.147
39	6.0	0.829	0.829	2.375	2.375	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.676	0.168
40	6.0	0.461	0.461	2.812	2.938	0.188	0.0	0.0	0.0	0.0	0.0	1.0	0.57	0.01
41	6.0	0.634	0.634	2.75	2.75	0.062	0.0	0.0	0.0	0.0	0.0	1.0	0.693	0.163
42	6.0	0.733	0.733	2.688	2.688	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.601	0.319
43	6.0	0.846	0.846	2.75	2.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.647	0.209
44	6.0	0.722	0.722	2.812	3.062	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.587	0.221
45	6.0	0.598	0.598	3.062	3.125	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.552	0.255
46	6.0	0.93	0.93	2.25	2.25	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.748	0.558
47	6.0	0.607	0.607	3.062	3.125	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.387
48	6.0	0.764	0.764	2.75	2.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.898	0.709
49	6.0	0.609	0.609	3.062	3.25	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.327	0.371
50	6.0	0.68	0.68	2.75	2.75	0.125	0.0	0.0	0.0	0.0	0.0	1.0	1.851	0.195
51	6.0	0.591	0.591	3.125	3.25	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.03	0.548
52	6.0	0.579	0.579	3.5	3.688	0.062	0.0	0.0	0.0	0.0	0.0	1.0	0.626	0.113
53	6.0	0.503	0.503	3.688	3.812	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.209	0.215
54	6.0	0.41	0.41	3.688	4.25	0.125	0.0	0.0	0.0	0.0	0.0	1.0	0.754	0.031
55	6.0	0.54	0.54	3.25	3.438	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.237	0.253
56	6.0	0.64	0.64	2.25	2.5	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.04	0.215
57	6.0	0.643	0.643	2.0	2.375	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.022	0.267
58	6.0	0.466	0.466	3.438	3.625	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.57	0.03
59	6.0	0.708	0.708	2.562	2.875	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.685	0.277
60	6.0	0.681	0.681	3.25	3.375	0.062	0.0	0.0	0.0	0.0	0.0	1.0	0.708	0.197
61	6.0	0.645	0.645	2.875	3.188	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.206	0.191
62	6.0	0.754	0.754	2.312	2.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.603	0.633
63	6.0	0.448	0.448	4.0	4.375	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.292	-0.207
64	6.0	0.43	0.43	3.5	3.625	0.062	0.0	0.0	0.0	0.0	0.0	1.0	0.974	0.546
65	6.0	0.541	0.541	3.438	3.5	0.062	0.0	0.0	0.0	0.0	0.0	1.0	0.841	0.636
66	6.0	0.497	0.497	3.188	3.312	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.338	0.589
67	6.0	0.567	0.567	3.75	3.938	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.56	0.234
68	6.0	0.65	0.65	3.062	3.188	0.062	0.0	0.0	0.0	0.0	0.0	1.0	1.658	0.663
69	6.0	0.565	0.565	2.75	3.312	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.901	0.583
70	6.0	0.777	0.777	2.5	2.562	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.697	0.465
71	6.0	0.775	0.775	2.312	2.562	0.0	0.0	0.25	0.25	0.0	0.0	1.0	0.926	0.238
72	6.0	0.689	0.689	2.375	2.625	0.0	0.0	0.125	0.125	0.0	0.0	1.0	0.295	0.025
73	6.0	0.698	0.698	2.812	3.0	0.0	0.0	0.125	0.125	0.0	0.0	1.0	1.364	0.081
74	6.0	0.643	0.643	2.688	3.062	0.062	0.0	0.062	0.062	0.0	0.0	1.0	1.376	0.086
75	6.0	0.635	0.635	2.375	2.688	0.062	0.0	0.188	0.188	0.0	0.0	1.0	1.405	-0.175
76	6.0	0.533	0.533	3.062	3.438	0.062	0.0	0.125	0.125	0.0	0.0	1.0	0.97	0.182
77	6.0	0.544	0.544	2.938	3.688	0.0	0.0	0.188	0.188	0.0	0.0	1.0	0.601	0.083
78	6.0	0.519	0.519	3.188	3.562	0.0	0.0	0.188	0.188	0.0	0.0	1.0	0.732	0.197
79	6.0	0.539	0.539	2.438	3.312	0.062	0.0	0.375	0.375	0.0	0.0	1.0	1.12	0.027
80	6.0	0.754	0.754	2.312	2.375	0.0	0.0	0.188	0.188	0.0	0.0	1.0	1.187	0.272
81	6.0	0.411	0.411	3.188	3.812	0.062	0.0	0.312	0.312	0.0	0.0	1.0	1.078	0.1
82	6.0	0.666	0.666	1.938	2.188	0.062	0.062	0.0	0.0	0.0	0.0	1.0	2.127	0.57
83	6.0	0.524	0.524	2.938	3.562	0.0	0.0	0.5	0.5	0.0	0.0	1.0	1.153	0.09
84	6.0	0.529	0.529	2.688	3.375	0.0	0.0	0.438	0.438	0.0	0.0	1.0	0.912	0.181
85	6.0	0.529	0.529	2.5	3.0	0.125	0.0	0.375	0.375	0.0	0.0	1.0	0.908	0.129
86	6.0	0.397	0.397	2.312	3.125	0.188	0.0	0.375	0.375	0.0	0.0	1.0	0.709	0.123
87	6.0	0.299	0.299	3.0	4.188	0.25	0.0	0.25	0.25	0.0	0.0	1.0	0.856	0.124
88	6.0	0.284	0.284	2.75	4.0	0.062	0.0	0.75	0.75	0.0	0.0	1.0	1.342	0.049
89	6.0	0.651	0.651	2.188	2.75	0.062	0.0	0.562	0.562	0.0	0.0	1.0	0.869	0.065
90	6.0	0.051	0.051	2.312	3.75	0.312	0.125	0.625	0.625	0.0	0.0	1.0	1.118	-0.831
91	6.0	0.448	0.448	1.625	2.625	0.25	0.062	0.438	0.438	0.0	0.0	1.0	1.453	0.218
92	6.0	0.193	0.193	1.562	3.25	0.312	0.125	0.688	0.688	0.0	0.0	1.0	2.01	-2.271
93	6.0	0.584	0.584	1.75	2.375	0.125	0.062	0.5	0.5	0.0	0.0	1.0	1.726	0.32
94	6.0	-0.018	-0.018	1.438	2.188	0.688	0.688	0.312	0.312	0.0	0.0	1.0	1.407	-0.566
95	6.0	-0.163	-0.163	1.062	1.688	0.938	0.812	0.438	0.438	0.0	0.0	1.0	3.039	-0.024
96	6.0	0.206	0.206	1.0	1.688	0.5	0.5	0.625	0.625	0.0	0.0	1.0	1.538	-0.197
97	6.0	0.053	0.053	1.125	1.688	0.688	0.688	0.75	0.75	0.0	0.0	1.0	0.677	0.147
98	6.0	-0.093	-0.093	0.812	1.0	0.938	0.875	1.0	1.0	0.0	0.0	1.0	0.326	0.191
99	6.0	-0.175	-0.175	1.0	1.188	0.938	0.812	0.875	0.875	0.0	0.0	1.0	0.307	-0.315
100	6.0	-0.188	-0.188	1.062	1.312	0.938	0.812	1.0	1.0	0.0	0.0	1.0	0.469	-1.04
